N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
111,HL만도,"50,300","2,650",+5.56%,"1,000","23,619","46,957",21.66,"534,978",22.41,9.31,
112,메리츠증권,"3,645",50,-1.35%,"1,000","23,317","639,711",14.23,"962,705",3.19,15.77,
113,에스원,"61,000",800,+1.33%,500,"23,179","37,999",53.30,"67,658",18.89,9.13,
114,팬오션,"4,330",10,-0.23%,"1,000","23,147","534,570",16.58,"1,400,443",2.93,17.16,
115,KODEX 200선물인버스2X,"3,495",90,+2.64%,0,"22,358","639,700",3.87,"150,768,911",N/A,N/A,
116,한미사이언스,"32,350",250,+0.78%,500,"22,200","68,624",2.44,"69,489",43.08,6.37,
117,LIG넥스원,"100,500","5,600",+5.90%,"5,000","22,110","22,000",11.13,"487,688",14.88,14.63,
118,LG화학우,"287,000","4,500",+1.59%,"5,000","22,067","7,689",70.29,"10,059",10.12,N/A,
119,신세계,"221,000","4,000",+1.84%,"5,000","21,758","9,845",27.77,"34,208",5.38,8.54,
120,아모레G,"25,850",450,+1.77%,500,"21,315","82,458",14.85,"232,423",57.96,5.49,
121,KCC,"239,500","2,500",-1.03%,"5,000","21,283","8,886",11.45,"14,815",-8.39,-0.92,
122,CJ,"72,800",900,+1.25%,"5,000","21,241","29,177",17.74,"31,437",8.02,5.66,
123,KODEX 레버리지,"12,935",345,-2.60%,0,"21,045","162,700",0.92,"25,380,457",N/A,N/A,
124,LS,"65,300",400,+0.62%,"5,000","21,027","32,200",13.53,"113,460",6.55,8.15,
125,BNK금융지주,"6,450",10,+0.16%,"5,000","21,023","325,935",35.38,"1,108,241",2.54,8.76,
126,한화시스템,"11,050",100,-0.90%,"5,000","20,876","188,919",3.63,"464,339",112.76,6.04,
127,한솔케미칼,"184,000","4,000",-2.13%,"5,000","20,857","11,335",38.42,"40,697",13.76,23.88,
128,코스모신소재,"67,500",400,-0.59%,"1,000","20,689","30,651",9.23,"740,754",83.75,9.42,
129,TIGER 미국나스닥100,"70,370","2,215",-3.05%,0,"20,654","29,350",0.09,"142,771",N/A,N/A,
130,키움증권,"78,500",100,-0.13%,"5,000","20,582","26,220",24.74,"55,098",3.40,25.38,
131,영원무역,"46,400",150,+0.32%,500,"20,561","44,311",29.15,"66,792",4.50,14.71,
132,동서,"20,300",150,-0.73%,500,"20,239","99,700",3.13,"38,790",17.44,8.05,
133,휠라홀딩스,"32,750",350,-1.06%,"1,000","19,896","60,752",41.60,"156,103",9.48,16.20,
134,CJ대한통운,"86,900","1,900",+2.24%,"5,000","19,824","22,812",18.38,"59,387",10.87,1.59,
135,한전기술,"51,800",0,0.00%,200,"19,798","38,220",2.10,"162,340",116.14,3.25,
136,대우조선해양,"18,450",400,+2.22%,"5,000","19,795","107,291",2.52,"551,588",-1.77,-55.86,
137,대웅제약,"168,000","3,000",-1.75%,"2,500","19,465","11,587",8.53,"23,580",26.76,4.39,
138,한화생명,"2,210",35,+1.61%,"5,000","19,195","868,530",7.33,"1,137,293",1.83,10.79,
139,대한전선,"1,540",5,+0.33%,100,"19,165","1,244,473",1.94,"11,835,243",40.53,7.78,
140,GS건설,"22,350",300,-1.32%,"5,000","19,127","85,581",33.15,"909,493",3.95,9.32,
141,한화,"25,450",100,+0.39%,"5,000","19,077","74,959",17.34,"195,643",2.38,20.22,
142,DB하이텍,"42,850","1,850",-4.14%,"5,000","19,025","44,399",24.09,"840,190",3.60,33.35,
143,현대차우,"78,000",500,+0.65%,"5,000","18,998","24,357",57.31,"25,635",3.46,N/A,
144,TIGER 200,"29,525",390,-1.30%,0,"18,734","63,450",0.00,"2,703,793",N/A,N/A,
145,KODEX 200TR,"9,895",130,-1.30%,0,"18,523","187,200",0.12,"484,017",N/A,N/A,
146,TIGER 미국S&P500,"13,460",220,-1.61%,0,"18,447","137,050",0.26,"3,070,338",N/A,N/A,
147,농심,"302,500","1,500",+0.50%,"5,000","18,400","6,083",13.50,"7,866",16.24,4.73,
148,하이트진로,"25,450",250,+0.99%,"5,000","17,849","70,134",13.06,"185,787",18.95,6.62,
149,오뚜기,"445,000","3,500",+0.79%,"5,000","17,835","4,008",11.03,"1,930",10.93,8.91,
150,대우건설,"4,240",20,-0.47%,"5,000","17,622","415,623",11.67,"1,413,427",4.20,16.47,
151,현대위아,"64,000","1,300",+2.07%,"5,000","17,405","27,195",10.66,"269,303",7.70,1.96,
152,KODEX 삼성그룹,"8,900",65,-0.73%,0,"17,355","195,000",2.12,"5,008,970",N/A,N/A,
153,두산퓨얼셀,"26,400",400,-1.49%,100,"17,290","65,494",14.47,"248,618",223.73,1.69,
154,서울가스,"329,000","1,500",+0.46%,"5,000","16,450","5,000",3.15,"6,548",81.29,0.80,
155,대성홀딩스,"99,800",800,+0.81%,"1,000","16,057","16,089",3.99,"49,306",69.99,3.61,
156,LX인터내셔널,"41,250",50,+0.12%,"5,000","15,988","38,760",31.07,"211,913",3.05,22.49,
157,TIGER TOP10,"9,590",150,-1.54%,0,"15,641","163,100",1.72,"211,889",N/A,N/A,
158,TIGER CD금리투자KIS(합성),"51,360",10,+0.02%,0,"15,584","30,342",0.00,"138,328",N/A,N/A,
159,LS ELECTRIC,"51,800",500,-0.96%,"5,000","15,540","30,000",12.50,"69,812",16.81,5.86,
160,SK케미칼,"89,200",400,+0.45%,"5,000","15,370","17,231",18.10,"41,969",11.88,11.19,
161,효성,"72,200",300,-0.41%,"5,000","15,213","21,071",5.18,"24,783",5.08,18.04,
162,TIGER 단기통안채,"101,520",5,0.00%,0,"15,211","14,983",5.07,"870,969",N/A,N/A,
163,녹십자,"127,500","1,000",-0.78%,"5,000","14,900","11,687",23.16,"26,882",11.94,10.30,
164,에스엘,"31,850","2,300",+7.78%,500,"14,794","46,449",16.41,"394,792",14.52,6.63,
165,KODEX 단기채권PLUS,"104,185",5,0.00%,0,"14,715","14,124",0.01,"324,545",N/A,N/A,
166,한전KPS,"32,550",150,+0.46%,200,"14,648","45,000",5.65,"95,581",21.60,9.12,
167,효성첨단소재,"324,000","5,500",+1.73%,"5,000","14,515","4,480",6.05,"31,729",6.19,54.69,
168,롯데정밀화학,"55,800",200,+0.36%,"5,000","14,396","25,800",19.80,"107,302",2.94,30.43,
169,금양,"24,500","5,200",+26.94%,500,"14,222","58,050",1.19,"20,766,407",79.03,13.57,
170,JB금융지주,"7,200",0,0.00%,"5,000","14,183","196,983",26.88,"393,574",2.59,12.80,
171,KODEX 2차전지산업,"21,420",105,+0.49%,0,"14,030","65,500",0.14,"3,753,206",N/A,N/A,
172,DL이앤씨,"35,650","1,200",-3.26%,"5,000","13,794","38,694",22.83,"166,245",2.93,N/A,
173,TIGER 미국필라델피아반도체나스닥,"8,895",295,-3.21%,0,"13,729","154,350",0.43,"1,220,176",N/A,N/A,
174,동원시스템즈,"46,000",50,-0.11%,"5,000","13,336","28,991",13.24,"8,957",28.70,6.95,
175,TIGER 2차전지테마,"19,805",175,+0.89%,0,"13,309","67,200",0.17,"1,541,668",N/A,N/A,
176,TIGER 미국테크TOP10 INDXX,"9,740",530,-5.16%,0,"13,095","134,450",0.23,"2,077,819",N/A,N/A,
177,현대백화점,"55,800",100,+0.18%,"5,000","13,059","23,402",23.16,"44,548",6.11,4.36,
178,두산,"77,500",800,-1.02%,"5,000","12,806","16,524",5.10,"90,846",-15.62,11.08,
179,DL,"61,000",300,+0.49%,"5,000","12,783","20,956",9.61,"52,064",8.21,26.52,
180,솔루스첨단소재,"36,300","1,450",+4.16%,100,"12,745","35,111",5.35,"424,632",162.78,4.00,
181,롯데칠성,"137,000","2,000",+1.48%,500,"12,712","9,279",12.71,"14,070",8.36,9.96,
182,현대일렉트릭,"34,350",50,-0.15%,"5,000","12,382","36,047",10.99,"339,760",-25.92,-5.08,
183,롯데제과,"129,500","2,500",-1.89%,500,"12,218","9,435",14.55,"7,258",25.15,2.88,
184,대웅,"21,000",50,-0.24%,500,"12,210","58,142",4.48,"30,340",10.83,11.13,
185,효성티앤씨,"281,500",0,0.00%,"5,000","12,182","4,328",9.62,"11,449",2.49,76.22,
186,대덕전자,"23,950",600,-2.44%,500,"11,835","49,417",19.28,"463,609",9.30,9.55,
187,한국앤컴퍼니,"12,450",0,0.00%,500,"11,819","94,935",9.08,"47,433",5.23,5.53,
188,DGB금융지주,"6,970",90,-1.27%,"5,000","11,789","169,146",45.07,"750,585",2.31,9.63,
189,코오롱인더,"42,450",600,-1.39%,"5,000","11,682","27,519",17.43,"88,973",6.73,8.20,
190,한미반도체,"11,600",450,-3.73%,100,"11,475","98,920",4.98,"345,846",10.17,34.59,
191,삼천리,"282,500","6,000",+2.17%,"5,000","11,455","4,055",14.12,"26,649",15.25,4.52,
192,후성,"12,350",450,-3.52%,500,"11,437","92,607",7.96,"1,095,752",15.34,9.61,
193,KODEX 종합채권(AA-이상)액티브,"98,140",120,+0.12%,0,"11,401","11,617",0.00,"2,850",N/A,N/A,
194,영풍,"616,000","6,000",-0.96%,"5,000","11,347","1,842",3.94,823,6.33,3.66,
195,일진하이솔루스,"30,550",150,-0.49%,500,"11,094","36,313",1.38,"38,890",124.19,4.97,
196,롯데렌탈,"29,800",200,+0.68%,"5,000","10,917","36,634",4.77,"28,098",7.30,12.28,
197,신풍제약,"20,600",250,-1.20%,500,"10,915","52,985",6.11,"185,493",-48.70,-3.19,
198,TIGER MSCI Korea TR,"12,295",135,-1.09%,0,"10,832","88,100",0.01,719,N/A,N/A,
199,동국제강,"11,350",250,-2.16%,"5,000","10,832","95,433",23.14,"260,971",1.37,23.41,
200,현대두산인프라코어,"5,400",130,+2.47%,"1,000","10,679","197,763",7.20,"4,152,745",2.17,24.63,
